name,num_agents,num_landmarks,reward,jsd,laststep_jsd
eager-aardvark-55,2.0,10.0,-158.5948028564453,0.5579230452841438,0.5579230452841438
breezy-surf-56,3.0,2.0,-20.814725875854492,0.4798584701092711,0.5294326920611859
rose-lake-57,3.0,2.0,-5.836618423461914,0.5294326920611859,0.5579230452841438
mild-glade-58,3.0,2.0,-6.737289905548096,0.5579230452841438,0.5579230452841438
soft-feather-59,3.0,2.0,-12.19130802154541,0.5579230452841438,0.5579230452841438
earnest-firefly-60,3.0,2.0,-7.597988128662109,0.5579230452841438,0.5579230452841438
stoic-glitter-61,3.0,2.0,-15.599778175354004,0.5294326920611859,0.5579230452841438
restful-water-62,3.0,2.0,-11.349308967590332,0.5579230452841438,0.5579230452841438
neat-glitter-63,3.0,2.0,-7.855592727661133,0.4012146502311653,0.5579230452841438
crimson-bird-64,3.0,2.0,-6.836750507354736,0.5579230452841438,0.5579230452841438
copper-silence-65,3.0,2.0,-7.758298397064209,0.5294326920611859,0.5294326920611859
upbeat-smoke-66,3.0,3.0,-17.331256866455078,0.6776045432457228,0.6776045432457228
eternal-darkness-67,3.0,3.0,-18.207725524902344,0.6776045432457228,0.6776045432457228
brisk-pine-68,3.0,3.0,-12.333054542541504,0.6776045432457228,0.6776045432457228
fine-totem-69,3.0,3.0,-9.990246772766112,0.6530256871942657,0.6776045432457228
cerulean-pine-70,3.0,3.0,-12.66798210144043,0.6776045432457228,0.6776045432457228
super-waterfall-71,3.0,3.0,-9.571962356567385,0.6776045432457228,0.6776045432457228
amber-voice-72,3.0,3.0,-12.167074203491213,0.6260928337835024,0.6776045432457228
avid-river-73,3.0,3.0,-7.059995651245117,0.6776045432457228,0.6776045432457228
comfy-salad-74,3.0,3.0,-13.770039558410645,0.6329570929068772,0.6776045432457228
morning-sun-75,3.0,3.0,-11.686901092529297,0.6776045432457228,0.6776045432457228
playful-totem-76,3.0,5.0,-45.3226432800293,0.529432692061186,NaN
apricot-mountain-77,3.0,5.0,-55.786964416503906,NaN,NaN
electric-sunset-78,3.0,5.0,-67.84599304199219,0.5579230452841438,NaN
super-wood-79,3.0,5.0,-83.333984375,NaN,NaN
splendid-galaxy-80,3.0,5.0,-54.91634750366211,NaN,NaN
stoic-meadow-81,3.0,5.0,-60.02034759521485,0.3945111687006674,NaN
dandy-bee-82,3.0,5.0,-74.59187316894531,0.5579230452841438,NaN
dauntless-snowflake-83,3.0,5.0,-61.23527526855469,0.5579230452841438,NaN
dry-sunset-84,3.0,10.0,-120.65428161621094,0.5597819393732626,NaN
dutiful-firebrand-85,3.0,5.0,-91.35648345947266,0,NaN
comfy-blaze-86,3.0,10.0,-146.5810546875,0.6459177366063016,NaN
fast-pond-87,3.0,5.0,-53.598182678222656,0.5579230452841438,NaN
gentle-fog-88,3.0,10.0,-153.17762756347656,0.19658173157631545,NaN
northern-oath-89,3.0,10.0,-109.83000946044922,0.6594309926980879,0.5579230452841438
prime-salad-90,3.0,10.0,-123.07577514648438,0.6776045432457228,0.5579230452841438
pretty-frost-91,3.0,10.0,-117.64830780029295,0.6776045432457228,NaN
volcanic-frog-92,3.0,10.0,-166.7931671142578,0.6776045432457228,NaN
genial-resonance-93,3.0,10.0,-96.34735870361328,0.6776045432457228,0.6776045432457228
iconic-music-94,3.0,10.0,-132.8590087890625,0.6495949679733508,0.5579230452841438
northern-star-95,3.0,10.0,-133.34327697753906,0.5579230452841438,NaN
clean-wildflower-96,5.0,2.0,-4.686662673950195,0.5579230452841438,0.5579230452841438
divine-monkey-97,5.0,2.0,-8.523539543151855,0.529432692061186,0.5579230452841438
vocal-plasma-98,5.0,2.0,-8.113450050354004,0.5479032025799448,0.5579230452841438
ethereal-forest-99,5.0,2.0,-8.42499828338623,0.5294326920611859,0.5579230452841438
glad-jazz-100,5.0,2.0,-11.152021408081056,0.4922603679377175,0.5579230452841438
playful-star-101,5.0,2.0,-5.632879257202148,0.5294326920611859,0.5579230452841438
ethereal-pond-102,5.0,2.0,-8.29703426361084,0.5579230452841438,0.5579230452841438
crimson-bee-103,5.0,2.0,-9.583633422851562,0.5294326920611859,NaN
apricot-wind-104,5.0,2.0,-8.810688018798828,0.5579230452841438,0.5579230452841438
likely-deluge-105,5.0,2.0,-2.978073835372925,0.5294326920611859,0.5579230452841438
splendid-fog-106,5.0,3.0,-20.040781021118164,0.6557717076675889,0.6776045432457228
hardy-wildflower-107,5.0,3.0,-11.415245056152344,0.6623064177590945,0.5579230452841438
likely-paper-108,5.0,3.0,-17.112924575805664,0.6776045432457228,0.6776045432457228
fast-morning-109,5.0,3.0,-17.005786895751953,0.655771707667589,0.6776045432457228
generous-totem-110,5.0,3.0,-14.147005081176758,0.6382494706630468,0.5579230452841438
deft-dream-111,5.0,3.0,-17.658721923828125,0.6082017455929194,0.6776045432457228
rare-capybara-112,5.0,3.0,-15.754427909851074,0.5479032025799448,0.5579230452841438
stellar-breeze-113,5.0,3.0,-13.378013610839844,0.655771707667589,0.6776045432457228
pleasant-donkey-114,5.0,3.0,-12.232738494873049,0.655771707667589,0.6776045432457228
stellar-pond-115,5.0,3.0,-13.093823432922363,0.6776045432457228,0.6776045432457228
eager-river-116,5.0,5.0,-34.211429595947266,0.740806952380577,0.5579230452841438
splendid-flower-117,5.0,5.0,-47.09503936767578,0.5579230452841438,0.5579230452841438
autumn-dragon-118,5.0,5.0,-41.94767761230469,0.655771707667589,0.5579230452841438
lyric-flower-119,5.0,5.0,-61.530029296875,0.6776045432457228,0.5579230452841438
firm-brook-120,5.0,5.0,-38.00653839111328,0.599862513812348,NaN
blooming-bird-121,5.0,5.0,-52.0255012512207,NaN,NaN
atomic-dew-122,5.0,5.0,-41.63349914550781,0.6776045432457228,0.5579230452841438
denim-dream-123,5.0,5.0,-37.86330795288086,0.6559914526865888,0.5579230452841438
good-waterfall-124,5.0,5.0,-45.31482696533203,0.740806952380577,0.6776045432457228
